SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,17016 NE 19th St,Bellevue,WA,98008,989000,4,2.25,Bellevue,2130,7172,1964,1,464,,Active,,,http://www.redfin.com/WA/Bellevue/17016-NE-19th-St-98008/home/432747,NWMLS,1719500,N,Y,47.6271617,-122.1124519
MLS Listing,,Single Family Residential,6742 3rd Ave NW,Seattle,WA,98117,999950,3,1.75,Phinney Ridge,2305,5000,1906,2,434,,Active,,,http://www.redfin.com/WA/Seattle/6742-3rd-Ave-NW-98117/home/496419,NWMLS,1719754,N,Y,47.6790158,-122.3602421
MLS Listing,,Single Family Residential,2305 W Raye St,Seattle,WA,98199,1100000,4,2.75,Magnolia,2020,1582,2018,2,545,,Active,,,http://www.redfin.com/WA/Seattle/2305-W-Raye-St-98199/home/167249747,NWMLS,1714044,N,Y,47.642696,-122.386306
MLS Listing,,Single Family Residential,319 N 80th St,Seattle,WA,98103,799999,3,1.75,Greenwood,2120,3030,1916,2,377,,Active,,,http://www.redfin.com/WA/Seattle/319-N-80th-St-98103/home/300056,NWMLS,1717867,N,Y,47.68674,-122.3544111
MLS Listing,,Single Family Residential,312 NW 81st St,Seattle,WA,98117,819000,3,1.75,Greenwood,1700,4800,1915,3,482,,Active,,,http://www.redfin.com/WA/Seattle/312-NW-81st-St-98117/home/498714,NWMLS,1714621,N,Y,47.6878855,-122.3613504
MLS Listing,,Single Family Residential,2024 NW 61st St,Seattle,WA,98107,974500,3,2.25,Ballard,1913,1948,2015,9,509,,Active,,,http://www.redfin.com/WA/Seattle/2024-NW-61st-St-98107/home/493205,NWMLS,1715313,N,Y,47.6733241,-122.3832848
MLS Listing,,Single Family Residential,3306 170th Ave NE,Bellevue,WA,98008,989000,6,2.5,Idylwood,2692,7216,1972,1,367,,Active,,,http://www.redfin.com/WA/Bellevue/3306-170th-Ave-NE-98008/home/432692,NWMLS,1719485,N,Y,47.6403629,-122.1127657
MLS Listing,,Townhouse,2027 Dexter Ave N,Seattle,WA,98109,849950,3,2.25,Westlake,1665,1232,2020,1,510,,Active,,,http://www.redfin.com/WA/Seattle/2027-Dexter-Ave-N-98109/home/173687796,NWMLS,1719289,N,Y,47.6373222,-122.3435073
MLS Listing,,Single Family Residential,5218 35th Ave NE,Seattle,WA,98105,825000,3,1.5,Bryant,2030,4000,1930,1,406,,Active,,,http://www.redfin.com/WA/Seattle/5218-35th-Ave-NE-98105/home/313679,NWMLS,1720488,N,Y,47.6672665,-122.2899161
MLS Listing,,Single Family Residential,7456 NE 120th St,Kirkland,WA,98034,975000,5,2.5,Holmes Point,2240,11342,1968,1,435,,Active,,,http://www.redfin.com/WA/Kirkland/7456-NE-120th-St-98034/home/280218,NWMLS,1718849,N,Y,47.7082056,-122.2407859
